,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
840,nguyenchithanh1954,5,2022-09-19 09:00,,"chưa biết xài hiệu quả ntn do mình mới mua lần đầu, mong có hiệu quả","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",0,141,1,0.97101134
841,xuanthang7895,5,2021-01-04 13:19,,"Giao hàng nhanh, chất lượng thì phải dùng đã mới biết",,0,141,1,0.99840266
842,pvthanh123,5,2022-09-19 17:48,,"Công dụng: Mờ thâm sẹo
Dành cho da: sẹo thâm
Dùng đc một tg r nma vẫn chưa thấy đỡ thâm ko bt về sau ntn","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,141,0,9.176894e-10
843,moccc1910,5,2020-10-08 19:50,,"Đóng gói chắc chắn, lần sau nhất định sẽ ủng hộ tiếp😘",,0,141,1,0.90783453
845,yeuhoa1975,5,2021-01-15 11:57,,"Giao hàng nhanh, mình mới đặt hôm qua mà nay đã giao tới rồi, sản phẩm xài tạm được mỗi tội mùi hơi nồng còn lại thì đều ổn:)))",,0,141,1,0.8914134
846,linh99999909,5,2023-05-22 12:00,,OK,,0,142,1,0.90783453
847,thuong7111999,5,2023-05-09 21:29,,Lợi ích: giảm thâm,,0,142,1,0.8833728
848,tantheogiacmo,5,2023-05-10 10:14,,Tạm cho 5s . Chất lượng time mới biết đc,,0,142,0,0.09157012
849,dtham92,5,2023-04-24 11:30,,Bao bì: đóng gói cẩn thận,,0,142,1,0.9182645
851,tygdqdm5yc,5,2023-03-23 05:43,,"Anh shipper dth xỉu, sp ok",,0,142,0,0.09157012
853,Người dùng Shopee,5,2023-03-19 14:42,,Hàng thật nhưng chưa biết công dụng,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️
",0,143,0,0.5974105
854,icecream9495,5,2023-03-13 23:21,,Tác dụng chậm nhưng lành tính,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,143,0,0.09157012
856,baongocduongvu,5,2023-03-11 12:48,,"Công dụng: mờ thâm
Mùi hương: thơm","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,143,0,0.5974105
859,Người dùng Shopee,5,2023-03-19 14:42,,Hàng thật nhưng chưa biết công dụng,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️
",0,144,0,0.6933692
860,icecream9495,5,2023-03-13 23:21,,Tác dụng chậm nhưng lành tính,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,144,0,0.417665
862,baongocduongvu,5,2023-03-11 12:48,,"Công dụng: mờ thâm
Mùi hương: thơm","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,144,1,0.8833728
