,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
234,jennyvuong,4,2023-01-07 11:07,,chất lượng tôt nên mua cho mấy ông uống mùa bia rượu này nhe không bit có tác dụng không nhưng cũng an tâm hơn,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,,
235,l*****n,4,2021-11-16 11:22,,Giao nhanh nhưng đóng gói thì không thể mê được hiuuuuuu,,0,1,,
236,buiminhduc1910,4,2023-01-14 16:28,,"Sản phẩm tốt, chất lượng tuy nhiên gói hàng sơ sài, đơn vị vận chuyển làm móp méo hộp và bể 1 lọ dù có dán tem hàng dễ vỡ","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,,
237,ktwn4292,4,2021-05-06 11:44,,San pham su dung tot nen mua them cho gia dinh su dung. Luc dat sp có hình tặng đèn pin nhưng giao hàng lại không có và giờ hình sp cũng thay đổi.,,0,1,,
239,jancap,4,2023-02-10 12:01,,"Mua nhiều lần lắm rồi, chẳng biết có tác dụng không nhưng uống để giải quyết vấn đề tâm lý là chính. Thấy ông chồng kêu không bị đau đầu không mệt chắc là có tác dụng hy vọng thế ￼","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,,
240,jennyvuong,4,2023-01-07 11:07,,chất lượng tôt nên mua cho mấy ông uống mùa bia rượu này nhe không bit có tác dụng không nhưng cũng an tâm hơn,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,,
241,l*****n,4,2021-11-16 11:22,,Giao nhanh nhưng đóng gói thì không thể mê được hiuuuuuu,,0,2,,
242,buiminhduc1910,4,2023-01-14 16:28,,"Sản phẩm tốt, chất lượng tuy nhiên gói hàng sơ sài, đơn vị vận chuyển làm móp méo hộp và bể 1 lọ dù có dán tem hàng dễ vỡ","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,,
243,ktwn4292,4,2021-05-06 11:44,,San pham su dung tot nen mua them cho gia dinh su dung. Luc dat sp có hình tặng đèn pin nhưng giao hàng lại không có và giờ hình sp cũng thay đổi.,,0,2,,
245,kimphu1711,3,2023-05-12 15:42,,"Đóng gói kĩ, giao hàng nhanh như mọi khi nhưng đợt này ko có tặng quà km như trên hình","Rohto-Mentholatum Vietnam xin chào bạn, rất xin lỗi khi bạn chưa hài lòng về đơn hàng ạ. Bạn có thể chia sẻ thêm thông tin cần hỗ trợ để gian hàng có thể hỗ trợ bạn thêm nhé. Rất mong sớm nhận được phản hồi từ bạn ạ. ",0,1,,
246,bamboo176,3,2021-05-24 13:59,,"Hết tặng đèn thì gỡ xuống đi cho khách người ta biết, cứ treo như vậy người ta lại tưởng có ",,0,1,,
249,minhminh070398,1,2021-05-19 17:20,,Shop bảo có quà mà lại Không có quà tặng đi kèm,,0,1,,
