,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
695,tt.eye.05,5,2021-06-17 20:51,Phân loại hàng: Hương Hương Thảo,Đóng giói cẩn thận. Mới xịt có vẻ hơi nồng nhưng sau tầm 10s thì thơm.,,0,116,1,0.96465
698,daootran,5,2022-04-04 19:36,Phân loại hàng: Hương Trà Xanh,"Mùi hương: Dễ chịu, không quá nồng",,0,117,0,4.4941129e-10
699,vp4hxsax_y,5,2022-10-30 09:21,Phân loại hàng: Hồng mộc lan,Túeuoobfđ,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,117,0,0.051561322
701,6oaf2xf50f,5,2022-01-08 17:01,Phân loại hàng: Hương Trà Xanh,"Thơm lắm , lưu hương khá lâu",,0,117,1,0.96465
702,p*****6,5,2022-03-21 19:06,Phân loại hàng: Hồng mộc lan,Giao hàng nhanh nên mình ưng lắm :3,,0,118,0,0.22161193
703,phuonpphuonp,5,2022-11-06 19:30,Phân loại hàng: Hồng mộc lan,"Công dụng: khử mùi
Mùi hương: thơm
Phù hợp với loại da: mọi loại da
Hương gỗ nghe mùi hơi hăng  k thích lắm. Hồng mộc lần thì chưa thử. Này mình xài cũng hơn chục năm r. Rất thích","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,118,1,1.0
704,m*****7,5,2021-11-02 18:17,Phân loại hàng: Hồng mộc lan,Giao hàng nhanh chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất tốt đóng gói sản phẩm rất tốt,,0,118,0,4.4941129e-10
705,3rd.marchh,5,2022-04-21 22:29,Phân loại hàng: Hương gỗ,ảnh với vid k liên quan nhưng mùi này khá oke mng ạ. Nhẹ nhàng ổn,,0,118,0,0.051561322
706,trinhhanhnu,5,2021-11-06 16:09,Phân loại hàng: Hương gỗ,"Mùi ok thơm lắm, xịt k bị tắc
Nói chung là duyệt
Zruxitxjfxixg",,0,118,0,0.00023449327
707,_kimkhuyen,5,2021-06-24 19:27,Phân loại hàng: Hương Trà Xanh,Đóng gói ổn giao hàng nhanh nên mua lắm ạ hình ảnh mang tính chất nhận xu thôi nha mọi người ,,0,118,1,0.96465
