,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
373,nguyenle210284,5,2022-10-09 21:34,,"Công dụng: trị mụn
Mùi hương: nhẹ
Dành cho da: mụn
Shop giao hàng nhanh. Chưa dùng nên chưa biết có tác dụng ko.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,63,0,8.894735e-06
374,hienhieubui,5,2022-10-14 01:18,,"Công dụng: trị mụn
Sản phẩm y hình, tuy nhiên mình dùng thấy cũng không hiệu quả lắm","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,63,0,2.444789e-08
375,Người dùng Shopee,5,2022-08-24 10:41,,"Đầy đủ sản phẩm, giao hàng nhanh,  shipper thân thiện. 
Sản phẩm có mùi dễ chịu.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn ở đơn hàng tiếp theo nhé.",0,63,0,2.5320767e-05
376,ttyn11062003,5,2022-06-15 00:38,,Chất lượng sản phẩm rất tuyệt vời . đóng gói sản phẩm đẹp . shop phục vụ rất tốt,,0,63,0,4.3788007e-10
377,d*****h,5,2022-09-03 13:24,,"Giao giống hình,  chưa xài nên không biết công dụng, giao nhanh, đóng gói tạm được","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,63,0,0.008388274
378,khanhhuyen_2511,5,2022-09-12 14:46,,"hàng auth nên mn yên tâm nha , giao đủ khong bị thiếu đâu nha. mãi iu","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,64,0,0.041586373
379,nguyenle210284,5,2022-10-09 21:34,,"Công dụng: trị mụn
Mùi hương: nhẹ
Dành cho da: mụn
Shop giao hàng nhanh. Chưa dùng nên chưa biết có tác dụng ko.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,64,0,8.894735e-06
380,hienhieubui,5,2022-10-14 01:18,,"Công dụng: trị mụn
Sản phẩm y hình, tuy nhiên mình dùng thấy cũng không hiệu quả lắm","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,64,0,2.444789e-08
381,Người dùng Shopee,5,2022-08-24 10:41,,"Đầy đủ sản phẩm, giao hàng nhanh,  shipper thân thiện. 
Sản phẩm có mùi dễ chịu.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn ở đơn hàng tiếp theo nhé.",0,64,0,2.5320767e-05
382,ttyn11062003,5,2022-06-15 00:38,,Chất lượng sản phẩm rất tuyệt vời . đóng gói sản phẩm đẹp . shop phục vụ rất tốt,,0,64,0,4.3788007e-10
